Profiling dataset amazon0302.txt
Profiling loading
=================

         741364997 function calls (741364797 primitive calls) in 499.575 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    8.391    8.391  499.575  499.575 <string>:1(<module>)
      100    0.000    0.000    0.000    0.000 <string>:1(__new__)
      100    0.001    0.000    0.001    0.000 __init__.py:1323(__init__)
      100    0.001    0.000    0.562    0.006 __init__.py:1327(__setitem__)
      100    0.000    0.000    0.000    0.000 __init__.py:1340(__set_property)
      300    0.001    0.000    0.001    0.000 __init__.py:1376(__init__)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
      100    0.001    0.000    0.565    0.006 __init__.py:1403(__setitem__)
      100    0.001    0.000    0.566    0.006 __init__.py:1502(__setattr__)
      100    0.005    0.000    0.014    0.000 __init__.py:1544(__init__)
      100    0.001    0.000    0.002    0.000 __init__.py:166(_prop)
      100  253.551    2.536  489.753    4.898 __init__.py:2079(add_edge_list)
      400    0.001    0.000    0.002    0.000 __init__.py:208(_type_alias)
      100    0.000    0.000    0.000    0.000 __init__.py:2105(<listcomp>)
      100    0.000    0.000    0.000    0.000 __init__.py:2106(<listcomp>)
123487800  136.381    0.000  137.086    0.000 __init__.py:2108(wrap)
370463100   81.617    0.000   99.109    0.000 __init__.py:2110(<genexpr>)
      100    0.000    0.000    0.000    0.000 __init__.py:2171(<lambda>)
      100    0.003    0.000    0.005    0.000 __init__.py:2308(new_vertex_property)
      300    0.001    0.000    0.002    0.000 __init__.py:231(_python_type)
      100    0.001    0.000    0.001    0.000 __init__.py:2577(set_directed)
      300    0.001    0.000    0.002    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.000    0.000 __init__.py:2868(num_vertices)
      700    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      100    0.007    0.000  491.181    4.912 __init__.py:2949(load_graph_from_csv)
      100    0.000    0.000    0.000    0.000 __init__.py:3032(<listcomp>)
      200    0.001    0.000    0.001    0.000 __init__.py:3183(value_types)
      300    0.002    0.000    0.007    0.000 __init__.py:383(__init__)
      100    0.001    0.000    0.001    0.000 __init__.py:393(_get_any)
      300    0.001    0.000    0.001    0.000 __init__.py:428(__register_map)
      297    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      297    0.001    0.000    0.003    0.000 __init__.py:438(__del__)
      300    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      300    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      300    0.002    0.000    0.002    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:811(reserve)
      100    0.001    0.000    0.002    0.000 _bootlocale.py:33(getpreferredencoding)
      100    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
      100    0.000    0.000    0.001    0.000 codecs.py:309(__init__)
   210600    0.347    0.000    0.839    0.000 codecs.py:319(decode)
      100    0.002    0.000    0.561    0.006 decorators.py:1(__set_property)
      100    0.000    0.000    0.564    0.006 decorators.py:1(__setitem__)
  300/100    0.001    0.000    0.563    0.006 decorators.py:126(wrapper)
      100    0.002    0.000    0.559    0.006 decorators.py:95(wrap)
      100    0.000    0.000    0.000    0.000 decorators.py:99(<listcomp>)
      400    0.001    0.000    0.001    0.000 enum.py:284(__call__)
      400    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      100    0.002    0.000    0.556    0.006 inspect.py:1056(getargspec)
      100    0.003    0.000    0.016    0.000 inspect.py:1089(getfullargspec)
      200    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      100    0.004    0.000    0.009    0.000 inspect.py:2117(_signature_from_function)
      100    0.002    0.000    0.012    0.000 inspect.py:2198(_signature_from_callable)
      400    0.002    0.000    0.003    0.000 inspect.py:2467(__init__)
      800    0.000    0.000    0.000    0.000 inspect.py:2517(name)
      400    0.000    0.000    0.000    0.000 inspect.py:2521(default)
      400    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
      400    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
      100    0.001    0.000    0.002    0.000 inspect.py:2750(__init__)
      500    0.000    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
      100    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
      100    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
      200    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x555e9cec43c0}
   210600    0.492    0.000    0.492    0.000 {built-in method _codecs.utf_8_decode}
      100    0.001    0.000    0.001    0.000 {built-in method _csv.reader}
      100    0.001    0.000    0.001    0.000 {built-in method _locale.nl_langinfo}
      100    0.538    0.005    0.538    0.005 {built-in method _warnings.warn}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000  499.575  499.575 {built-in method builtins.exec}
      600    0.000    0.000    0.000    0.000 {built-in method builtins.id}
