Profiling dataset amazon0302.txt
Profiling loading
=================

         160534254 function calls in 99.650 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    3.469    3.469   99.650   99.650 <string>:1(<module>)
       10    0.000    0.000    0.000    0.000 classic.py:358(empty_graph)
       10    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-22>:1(empty_graph)
       10    0.000    0.000   96.181    9.618 decorator.py:decorator-gen-584>:1(read_edgelist)
       10    0.000    0.000   96.181    9.618 decorators.py:171(_open_file)
       10    0.000    0.000    0.000    0.000 decorators.py:283(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 decorators.py:98(<lambda>)
       10   26.730    2.673   96.180    9.618 edgelist.py:182(parse_edgelist)
       10    0.000    0.000   96.180    9.618 edgelist.py:300(read_edgelist)
 12348780    4.293    0.000    6.797    0.000 edgelist.py:366(<genexpr>)
       10    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
       10    0.000    0.000    0.000    0.000 graph.py:301(__init__)
       10    0.000    0.000    0.000    0.000 graph.py:520(add_nodes_from)
 12348770   42.417    0.000   47.136    0.000 graph.py:858(add_edge)
       10    0.000    0.000    0.000    0.000 misc.py:64(is_string_like)
       10    0.000    0.000    0.000    0.000 posixpath.py:121(splitext)
        1    0.000    0.000   99.650   99.650 {built-in method builtins.exec}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
 37046310    3.275    0.000    3.275    0.000 {built-in method builtins.len}
       10    0.001    0.000    0.001    0.000 {built-in method io.open}
       10    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       10    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
 12348770    2.505    0.000    2.505    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
 12348770    2.536    0.000    2.536    0.000 {method 'find' of 'str' objects}
 12348770    2.469    0.000    2.469    0.000 {method 'get' of 'dict' objects}
 24697540    4.584    0.000    4.584    0.000 {method 'pop' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
 12348770    3.410    0.000    3.410    0.000 {method 'split' of 'str' objects}
 12348770    1.710    0.000    1.710    0.000 {method 'strip' of 'str' objects}
 12348780    2.250    0.000    2.250    0.000 {method 'update' of 'dict' objects}


Profiling 2-hops
================

         45663 function calls in 0.014 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 {built-in method builtins.exec}
        1    0.000    0.000    0.014    0.014 <string>:1(<module>)
       10    0.000    0.000    0.014    0.001 unweighted.py:25(single_source_shortest_path_length)
      960    0.001    0.000    0.014    0.000 unweighted.py:69(_single_shortest_path_length)
      950    0.007    0.000    0.012    0.000 {method 'update' of 'dict' objects}
    19480    0.002    0.000    0.003    0.000 _collections_abc.py:719(__iter__)
    18530    0.002    0.000    0.002    0.000 coreviews.py:53(__getitem__)
      950    0.001    0.000    0.001    0.000 coreviews.py:80(__getitem__)
      950    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
      950    0.000    0.000    0.000    0.000 coreviews.py:50(__iter__)
      960    0.000    0.000    0.000    0.000 coreviews.py:44(__init__)
      950    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
      950    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       10    0.000    0.000    0.000    0.000 digraph.py:325(adj)
       10    0.000    0.000    0.000    0.000 graph.py:417(__contains__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling shortest path
=======================

         59581733 function calls in 33.081 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   33.081   33.081 {built-in method builtins.exec}
        1    0.083    0.083   33.081   33.081 <string>:1(<module>)
       10    0.000    0.000   32.998    3.300 generic.py:178(shortest_path_length)
       10    1.147    0.115   32.998    3.300 unweighted.py:25(single_source_shortest_path_length)
  2621120    5.450    0.000   31.851    0.000 unweighted.py:69(_single_shortest_path_length)
  2621110   11.772    0.000   23.278    0.000 {method 'update' of 'dict' objects}
 20616950    5.321    0.000    6.387    0.000 _collections_abc.py:719(__iter__)
 17995840    3.795    0.000    3.795    0.000 coreviews.py:53(__getitem__)
  2621110    2.732    0.000    3.124    0.000 coreviews.py:80(__getitem__)
  2621110    0.947    0.000    1.324    0.000 _collections_abc.py:672(keys)
  2621110    0.677    0.000    1.066    0.000 coreviews.py:50(__iter__)
  2621120    0.392    0.000    0.392    0.000 coreviews.py:44(__init__)
  2621110    0.389    0.000    0.389    0.000 {built-in method builtins.iter}
  2621110    0.378    0.000    0.378    0.000 _collections_abc.py:698(__init__)
       10    0.000    0.000    0.000    0.000 digraph.py:325(adj)
       10    0.000    0.000    0.000    0.000 graph.py:417(__contains__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling PageRank
==================

         462141083 function calls (462141063 primitive calls) in 257.117 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  257.117  257.117 {built-in method builtins.exec}
        1    0.171    0.171  257.117  257.117 <string>:1(<module>)
       10    0.000    0.000  256.945   25.695 decorator.py:decorator-gen-278>:1(pagerank)
    20/10    6.105    0.305  256.945   25.695 decorators.py:64(_not_implemented_for)
